model,accuracy,macro_f1,state_space_RMSE,state_space_R2,policy_accuracy,predictive_RMSE
KNN,0.375,0.3221195471195471,174.0054189882331,0.9430031163532209,0.9791666666666666,586.4076302126275
SVM,0.28125,0.24255952380952378,174.0054189882331,0.9430031163532209,0.9791666666666666,586.4076302126275
RF,0.34375,0.3091054778554778,174.0054189882331,0.9430031163532209,0.9791666666666666,586.4076302126275
ANN,0.375,0.3150974025974026,174.0054189882331,0.9430031163532209,0.9791666666666666,586.4076302126275
